X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-86.3077368,32.3792233,Montgomery,,,,,,"-1","0","-1",,
-112.0740373,33.4483771,Phoenix,,,,,,"-1","0","-1",,
-92.2895948,34.7464809,Little Rock,,,,,,"-1","0","-1",,
-121.4943996,38.5815719,Sacramento,,,,,,"-1","0","-1",,
-104.990251,39.7392358,Denver,,,,,,"-1","0","-1",,
-72.6733723,41.7658043,Hartford,,,,,,"-1","0","-1",,
-75.5243682,39.158168,Dover,,,,,,"-1","0","-1",,
-84.2807329,30.4382559,Tallahassee,,,,,,"-1","0","-1",,
-84.3879824,33.7489954,Atlanta,,,,,,"-1","0","-1",,
-116.2023137,43.6150186,Boise,,,,,,"-1","0","-1",,
-89.6501481,39.7817213,Springfield,,,,,,"-1","0","-1",,
-86.158068,39.768403,Indianapolis,,,,,,"-1","0","-1",,
-93.6249593,41.5868353,Des Moines,,,,,,"-1","0","-1",,
-95.6751576,39.0473451,Topeka,,,,,,"-1","0","-1",,
-84.8732835,38.2009055,Frankfort,,,,,,"-1","0","-1",,
-91.1871466,30.4514677,Baton Rouge,,,,,,"-1","0","-1",,
-69.7794897,44.3106241,Augusta,,,,,,"-1","0","-1",,
-76.4921829,38.9784453,Annapolis,,,,,,"-1","0","-1",,
-71.0588801,42.3600825,Boston,,,,,,"-1","0","-1",,
-84.5555347,42.732535,Lansing,,,,,,"-1","0","-1",,
-93.0899578,44.9537029,Saint Paul,,,,,,"-1","0","-1",,
-90.1848103,32.2987573,Jackson,,,,,,"-1","0","-1",,
-92.1735164,38.5767017,Jefferson City,,,,,,"-1","0","-1",,
-112.0391057,46.5891452,Helena,,,,,,"-1","0","-1",,
-96.7025955,40.813616,Lincoln,,,,,,"-1","0","-1",,
-119.7674034,39.1637984,Carson City,,,,,,"-1","0","-1",,
-71.5375718,43.2081366,Concord,,,,,,"-1","0","-1",,
-74.759717,40.2205824,Trenton,,,,,,"-1","0","-1",,
-105.937799,35.6869752,Santa Fe,,,,,,"-1","0","-1",,
-73.7562317,42.6525793,Albany,,,,,,"-1","0","-1",,
-78.6381787,35.7795897,Raleigh,,,,,,"-1","0","-1",,
-100.7837392,46.8083268,Bismarck,,,,,,"-1","0","-1",,
-82.9987942,39.9611755,Columbus,,,,,,"-1","0","-1",,
-97.5164276,35.4675602,Oklahoma City,,,,,,"-1","0","-1",,
-123.0350963,44.9428975,Salem,,,,,,"-1","0","-1",,
-76.8867008,40.2731911,Harrisburg,,,,,,"-1","0","-1",,
-71.4128343,41.8239891,Providence,,,,,,"-1","0","-1",,
-81.0348144,34.0007104,Columbia,,,,,,"-1","0","-1",,
-100.3537522,44.3667876,Pierre,,,,,,"-1","0","-1",,
-86.7816016,36.1626638,Nashville,,,,,,"-1","0","-1",,
-97.7430608,30.267153,Austin,,,,,,"-1","0","-1",,
-111.8910474,40.7607793,Salt Lake City,,,,,,"-1","0","-1",,
-72.5753869,44.2600593,Montpelier,,,,,,"-1","0","-1",,
-77.4360481,37.5407246,Richmond,,,,,,"-1","0","-1",,
-122.9006951,47.0378741,Olympia,,,,,,"-1","0","-1",,
-81.6326234,38.3498195,Charleston,,,,,,"-1","0","-1",,
-89.4012302,43.0730517,Madison,,,,,,"-1","0","-1",,
-104.8202462,41.1399814,Cheyenne,,,,,,"-1","0","-1",,
