X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-74.0059728,40.7127753,New York,,,,,,"-1","0","-1",,
-118.2436849,34.0522342,Los Angeles,,,,,,"-1","0","-1",,
-87.6297982,41.8781136,Chicago,,,,,,"-1","0","-1",,
-95.3698028,29.7604267,Houston,,,,,,"-1","0","-1",,
-75.1652215,39.9525839,Philadelphia,,,,,,"-1","0","-1",,
-98.4936282,29.4241219,San Antonio,,,,,,"-1","0","-1",,
-117.1610838,32.715738,San Diego,,,,,,"-1","0","-1",,
-96.7969879,32.7766642,Dallas,,,,,,"-1","0","-1",,
-121.8863286,37.3382082,San Jose,,,,,,"-1","0","-1",,
-81.655651,30.3321838,Jacksonville,,,,,,"-1","0","-1",,
-97.3307658,32.7554883,Fort Worth,,,,,,"-1","0","-1",,
-80.8431267,35.2270869,Charlotte,,,,,,"-1","0","-1",,
-122.4194155,37.7749295,San Francisco,,,,,,"-1","0","-1",,
-122.3320708,47.6062095,Seattle,,,,,,"-1","0","-1",,
-77.0368707,38.9071923,Washington,,,,,,"-1","0","-1",,
-106.4850217,31.7618778,El Paso,,,,,,"-1","0","-1",,
-122.6783853,45.515232,Portland,,,,,,"-1","0","-1",,
-115.1398296,36.1699412,Las Vegas,,,,,,"-1","0","-1",,
-83.0457538,42.331427,Detroit,,,,,,"-1","0","-1",,
-90.0489801,35.1495343,Memphis,,,,,,"-1","0","-1",,
-85.7584557,38.2526647,Louisville,,,,,,"-1","0","-1",,
-76.6121893,39.2903848,Baltimore,,,,,,"-1","0","-1",,
-87.9064736,43.0389025,Milwaukee,,,,,,"-1","0","-1",,
-106.650422,35.0843859,Albuquerque,,,,,,"-1","0","-1",,
-110.9747108,32.2226066,Tucson,,,,,,"-1","0","-1",,
-119.7871247,36.7377981,Fresno,,,,,,"-1","0","-1",,
-94.5785667,39.0997265,Kansas City,,,,,,"-1","0","-1",,
-111.8314724,33.4151843,Mesa,,,,,,"-1","0","-1",,
-95.9345034,41.2565369,Omaha,,,,,,"-1","0","-1",,
-104.8213634,38.8338816,Colorado Springs,,,,,,"-1","0","-1",,
-118.1937395,33.7700504,Long Beach,,,,,,"-1","0","-1",,
-75.977985,36.8529263,Virginia Beach,,,,,,"-1","0","-1",,
-80.1917902,25.7616798,Miami,,,,,,"-1","0","-1",,
-122.2711639,37.8043514,Oakland,,,,,,"-1","0","-1",,
-93.2650108,44.977753,Minneapolis,,,,,,"-1","0","-1",,
-95.992775,36.1539816,Tulsa,,,,,,"-1","0","-1",,
-119.0187125,35.3732921,Bakersfield,,,,,,"-1","0","-1",,
-97.330053,37.6871761,Wichita,,,,,,"-1","0","-1",,
-97.1080656,32.735687,Arlington,,,,,,"-1","0","-1",,
-104.8319195,39.7294319,Aurora,,,,,,"-1","0","-1",,
-82.4571776,27.950575,Tampa,,,,,,"-1","0","-1",,
-90.0715323,29.9510658,New Orleans,,,,,,"-1","0","-1",,
-81.6943605,41.49932,Cleveland,,,,,,"-1","0","-1",,
-117.9143012,33.8365932,Anaheim,,,,,,"-1","0","-1",,
-84.5037164,38.0405837,Lexington,,,,,,"-1","0","-1",,
-121.2907796,37.9577016,Stockton,,,,,,"-1","0","-1",,
-97.396381,27.8005828,Corpus Christi,,,,,,"-1","0","-1",,
-114.9817213,36.0395247,Henderson,,,,,,"-1","0","-1",,
-117.3754942,33.9806005,Riverside,,,,,,"-1","0","-1",,
-122.0383968,37.5299765,Newark,,,,,,"-1","0","-1",,
-117.867653,33.7454725,Santa Ana,,,,,,"-1","0","-1",,
-84.5120196,39.1031182,Cincinnati,,,,,,"-1","0","-1",,
-117.8265049,33.6845673,Irvine,,,,,,"-1","0","-1",,
-81.3789269,28.5383832,Orlando,,,,,,"-1","0","-1",,
-79.9958864,40.4406248,Pittsburgh,,,,,,"-1","0","-1",,
-90.1994042,38.6270025,St. Louis,,,,,,"-1","0","-1",,
-79.7919754,36.0726354,Greensboro,,,,,,"-1","0","-1",,
-74.0431435,40.7177545,Jersey City,,,,,,"-1","0","-1",,
-96.6988856,33.0198431,Plano,,,,,,"-1","0","-1",,
-78.898619,35.9940329,Durham,,,,,,"-1","0","-1",,
-78.8783689,42.8864468,Buffalo,,,,,,"-1","0","-1",,
-111.8412502,33.3061605,Chandler,,,,,,"-1","0","-1",,
-117.0841955,32.6400541,Chula Vista,,,,,,"-1","0","-1",,
-83.5378674,41.6528052,Toledo,,,,,,"-1","0","-1",,
-111.789027,33.3528264,Gilbert,,,,,,"-1","0","-1",,
-119.8138027,39.5296329,Reno,,,,,,"-1","0","-1",,
-85.1393513,41.079273,Fort Wayne,,,,,,"-1","0","-1",,
-115.1175013,36.1988592,North Las Vegas,,,,,,"-1","0","-1",,
-82.6402915,27.7676008,St. Petersburg,,,,,,"-1","0","-1",,
-101.8551665,33.5778631,Lubbock,,,,,,"-1","0","-1",,
-96.9488945,32.8140177,Irving,,,,,,"-1","0","-1",,
-99.5075519,27.5035613,Laredo,,,,,,"-1","0","-1",,
