X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-112.1129484,36.1069258,Grand Canyon National Park,,,,,,"-1","0","-1",,
-109.78204,35.065931,Petrified Forest National Park,,,,,,"-1","0","-1",,
-111.166615,32.2967359,Saguaro National Park,,,,,,"-1","0","-1",,
-104.8644867,31.9230962,Guadalupe Mountains National Park,,,,,,"-1","0","-1",,
-104.5538893,32.1291301,Carlsbad Caverns National Park,,,,,,"-1","0","-1",,
-105.960270,32.889610,White Sands National Park,,,,,,"-1","0","-1",,
-103.2501636,29.2498194,Big Bend National Park,,,,,,"-1","0","-1",,
-93.0423545,34.5216915,Hot Springs National Park,,,,,,"-1","0","-1",,
-86.1505273,37.181531,Mammoth Cave National Park,,,,,,"-1","0","-1",,
-90.1837533,38.6274334,Gateway Arch National Park,,,,,,"-1","0","-1",,
-87.07082,41.6505655,Indiana Dunes National Park,,,,,,"-1","0","-1",,
-83.536380,35.687490,Great Smoky Mountains National Park,,,,,,"-1","0","-1",,
-80.985690,25.141200,Everglades National Park,,,,,,"-1","0","-1",,
-80.329900,25.539540,Biscayne National Park,,,,,,"-1","0","-1",,
-80.7820962,33.7948001,Congaree National Park,,,,,,"-1","0","-1",,
-78.4534573,38.4754706,Shenandoah National Park,,,,,,"-1","0","-1",,
-81.0188974,37.8776175,New River Gorge National Park and Preserve,,,,,,"-1","0","-1",,
-68.2733346,44.3385559,Acadia National Park,,,,,,"-1","0","-1",,
-81.567812,41.2808248,Cuyahoga Valley National Park,,,,,,"-1","0","-1",,
-89.694220,47.962240,Isle Royale National Park,,,,,,"-1","0","-1",,
-92.8492426,48.472465,Voyageurs National Park,,,,,,"-1","0","-1",,
-103.5387091,46.978965,Theodore Roosevelt National Park,,,,,,"-1","0","-1",,
-102.496516,43.511612,Badlands National Park,,,,,,"-1","0","-1",,
-103.4415644,43.5724388,Wind Cave National Park,,,,,,"-1","0","-1",,
-105.6836389,40.3427932,Rocky Mountain National Park,,,,,,"-1","0","-1",,
-105.5125037,37.732996,Great Sand Dunes National Park and Preserve,,,,,,"-1","0","-1",,
-107.717720,38.800800,Black Canyon of the Gunnison National Park,,,,,,"-1","0","-1",,
-108.4618335,37.2308729,Mesa Verde National Park,,,,,,"-1","0","-1",,
-109.9025345,38.2135733,Canyonlands National Park,,,,,,"-1","0","-1",,
-109.5925139,38.733081,Arches National Park,,,,,,"-1","0","-1",,
-111.1354983,38.0877312,Capitol Reef National Park,,,,,,"-1","0","-1",,
-112.1870895,37.5930377,Bryce Canyon National Park,,,,,,"-1","0","-1",,
-113.002760,37.184750,Zion National Park,,,,,,"-1","0","-1",,
-114.2633787,38.9299798,Great Basin National Park,,,,,,"-1","0","-1",,
-110.644800,43.904800,Grand Teton National Park,,,,,,"-1","0","-1",,
-110.366840,43.850500,Yellowstone National Park,,,,,,"-1","0","-1",,
-113.7870225,48.7596128,Glacier National Park,,,,,,"-1","0","-1",,
-121.818069,46.737701,Mount Rainier National Park,,,,,,"-1","0","-1",,
-123.474068,48.128471,Olympic National Park,,,,,,"-1","0","-1",,
-122.1684785,42.8684411,Crater Lake National Park,,,,,,"-1","0","-1",,
-124.0046276,41.2131788,Redwood National and State Parks,,,,,,"-1","0","-1",,
-121.670600,40.503690,Lassen Volcanic National Park,,,,,,"-1","0","-1",,
-120.056730,37.776970,Yosemite National Park,,,,,,"-1","0","-1",,
-118.943600,35.360360,Kings Canyon National Park,,,,,,"-1","0","-1",,
-118.5657516,36.4863668,Sequoia National Park,,,,,,"-1","0","-1",,
-121.1824925,36.4905655,Pinnacles National Park,,,,,,"-1","0","-1",,
-119.292430,34.281890,Channel Islands National Park,,,,,,"-1","0","-1",,
